idn,key,stat,p,group,name,z
141,451664,0.016307163027291176,0.46,HH,010059506002,110.04337205114699
143,451666,0.6010460082794844,0.25,HH,010059507002,167.44897501960816
154,451677,0.025504376242407954,0.16,HH,010070100031,199.4457883209753
155,451678,0.1421881880727787,0.15,HH,010070100032,203.64333894937897
161,451684,0.016750608403668106,0.47,HH,010070100044,107.526986209983
165,451688,0.030851400514284925,0.23,HH,010090501012,173.88468491852137
166,451689,0.2786131188900733,0.1,HH,010090501013,228.15515655446004
167,451690,0.4409373502745878,0.29,HH,010090501014,155.3384719555673
169,451692,0.4639768970017227,0.13,HH,010090501021,212.63911290388006
170,451693,0.49291303339788844,0.19,HH,010090501022,187.7896295051229
178,451701,0.3833503373830859,0.09,HH,010090503004,234.07550336902165
185,451708,0.1102571790921548,0.39,HH,010090505003,127.93190344474542
187,451710,0.08929591194774933,0.35,HH,010090505005,138.5320466407568
188,451711,0.1829148240961444,0.21,HH,010090506011,180.64212470182403
189,451712,0.0602300698029914,0.27,HH,010090506012,161.28129910166274
192,451715,0.012221460621703619,0.49,HH,010090506023,102.50689082587111
193,451716,1.915820400070586,0.02,HH,010090506024,305.37489106318225
195,451718,0.4566143557775844,0.09,HH,010090507001,234.07550336902165
196,451719,0.0017157288110491227,0.48,HH,010090507002,105.01535834647336
198,451721,1.1519166363206956,0.26,HH,010090507004,164.3345405392917
206,451729,0.4256961765249694,0.08,HH,010139527001,240.5071560309633
217,451740,1.2141498066482306,0.08,HH,010139532002,240.5071560309633
220,451743,0.4018881188223923,0.31,HH,010139533001,149.5850347347453
223,451746,0.0009106165210182541,0.41,HH,010139534002,122.75449766411496
228,451751,0.0008903380473449594,0.33,HH,010150003002,143.99131656732337
229,451752,0.02400199817197892,0.41,HH,010150004001,122.75449766411496
230,451753,0.014242912475987699,0.3,HH,010150004002,152.44005127080408
237,451760,0.023099630694431716,0.42,HH,010150007002,120.1893479141851
238,451761,0.003904294376630861,0.54,HH,010150007003,89.95662794885301
239,451762,0.18120261366162455,0.08,HH,010150008001,240.5071560309633
247,451770,0.0554587898180072,0.45,HH,010150011001,112.56613468550742
251,451774,0.2618204987203733,0.38,HH,010150012011,130.54807880993974
255,451778,1.6878610166103312,0.04,HH,010150012023,275.0686071252169
257,451780,1.2487809480755014,0.09,HH,010150013002,234.07550336902165
259,451782,0.3199505780691513,0.1,HH,010150014002,228.15515655446004
274,451797,0.15293754575535487,0.05,HH,010150018002,264.4853626951472
277,451800,0.24231903119420212,0.37,HH,010150018005,133.18533464368167
279,451802,0.16400229487137258,0.07,HH,010150020001,247.579102817917
280,451803,0.010917754251811143,0.18,HH,010150020002,191.53650878428144
289,451812,0.08107750248868417,0.04,HH,010150021031,275.0686071252169
300,451823,1.661762702716384,0.02,HH,010150024001,305.37489106318225
304,451827,0.0037262295691415323,0.34,HH,010150025013,141.24631294414047
310,451833,0.4839198804892872,0.21,HH,010150026001,180.64212470182403
316,451839,0.07632026153749209,0.41,HH,010179538001,122.75449766411496
318,451841,0.03078756847252247,0.42,HH,010179538003,120.1893479141851
324,451847,0.029285258941504844,0.17,HH,010179540002,195.41652531461943
325,451848,0.017695585311229604,0.44,HH,010179540003,115.09692154967775
327,451850,0.6065353606291025,0.02,HH,010179540005,305.37489106318225
328,451851,0.18902118930195172,0.33,HH,010179540006,143.99131656732337
329,451852,0.2717424141027699,0.27,HH,010179542001,161.28129910166274
331,451854,0.003753737170932019,0.12,HH,010179542003,217.49867920660904
332,451855,0.12370495081901577,0.08,HH,010179543001,240.5071560309633
