idn,key,stat,p,group,name,z
922,452445,0.2551341426473863,0.2,HH,010550017002,184.16212335729142
924,452447,0.3141415308874996,0.08,HH,010550101002,240.5071560309633
945,452468,0.0601098341548308,0.35,HH,010550106011,138.5320466407568
946,452469,0.012372272954058303,0.28,HH,010550106012,158.2841507271216
955,452478,0.000651554212900203,0.43,HH,010550110011,117.63741647808615
970,452493,0.02559001510109735,0.32,HH,010570201002,146.7698799114508
988,452511,0.0034045325077741453,0.37,HH,010599730001,133.18533464368167
992,452515,0.007825676587280424,0.36,HH,010599731001,135.84587932511937
1021,452544,0.049540326954786745,0.45,HH,010610503005,112.56613468550742
1025,452548,0.07886593279203408,0.27,HH,010610504003,161.28129910166274
1033,452556,0.057745755346688805,0.36,HH,010610506002,135.84587932511937
1039,452562,0.15425442853990887,0.18,HH,010630601003,191.53650878428144
1041,452564,0.10645846030218194,0.31,HH,010630601005,149.5850347347453
1047,452570,0.07745485480069898,0.41,HH,010650401001,122.75449766411496
1056,452579,0.35383089205990637,0.12,HH,010650405001,217.49867920660904
1059,452582,4.354006426466436,0.05,HH,010670301002,264.4853626951472
1060,452583,0.16259326399455068,0.26,HH,010670302001,164.3345405392917
1067,452590,1.0467985307510932,0.13,HH,010670304002,212.63911290388006
1074,452597,0.15237418648280165,0.02,HH,010690401001,305.37489106318225
1075,452598,0.9627764502587948,0.1,HH,010690401002,228.15515655446004
1076,452599,0.10791404054280805,0.29,HH,010690401003,155.3384719555673
1105,452628,0.2644963464990467,0.07,HH,010690409002,247.579102817917
1107,452630,0.021437158798909887,0.35,HH,010690410002,138.5320466407568
1110,452633,0.015097003915313732,0.18,HH,010690411002,191.53650878428144
1120,452643,0.08908800446198017,0.4,HH,010690415004,125.33471031357998
1125,452648,0.1891026934128537,0.29,HH,010690416004,155.3384719555673
1126,452649,0.20681258867858002,0.24,HH,010690417001,170.63025628400874
1127,452650,0.04841877666019717,0.25,HH,010690417002,167.44897501960816
1128,452651,0.05420158975467931,0.41,HH,010690418001,122.75449766411496
1129,452652,0.05805624153615337,0.48,HH,010690418002,105.01535834647336
1136,452659,0.05646754108519949,0.49,HH,010690420001,102.50689082587111
1140,452663,0.0926425513242651,0.15,HH,010690421001,203.64333894937897
1150,452673,0.07107828266736524,0.15,HH,010719502002,203.64333894937897
1152,452675,0.059670593061071996,0.43,HH,010719502004,117.63741647808615
1154,452677,0.007761161439354072,0.27,HH,010719503002,161.28129910166274
1159,452682,0.0015211289175658857,0.43,HH,010719504002,117.63741647808615
1162,452685,0.2470488955260022,0.18,HH,010719505002,191.53650878428144
1163,452686,0.1599482948296172,0.15,HH,010719506001,203.64333894937897
1164,452687,0.08772844529342566,0.48,HH,010719506002,105.01535834647336
1165,452688,0.8054044375490572,0.07,HH,010719506003,247.579102817917
1167,452690,0.19142620695121373,0.03,HH,010719507001,288.0793608151251
1168,452691,0.0022810226158784,0.59,HH,010719507002,77.24550233588506
1169,452692,0.008451073417387121,0.35,HH,010719507003,138.5320466407568
1179,452702,0.15333875660522905,0.12,HH,010719510001,217.49867920660904
1191,452714,0.0771863800230522,0.43,HH,010730001004,117.63741647808615
1196,452719,0.5474399313643944,0.2,HH,010730004001,184.16212335729142
1201,452724,0.2814574244407623,0.15,HH,010730005001,203.64333894937897
1209,452732,0.19011470096202482,0.11,HH,010730008002,222.65281200366104
1210,452733,0.8125665407316917,0.03,HH,010730008003,288.0793608151251
1211,452734,1.0280698181257062,0.2,HH,010730008004,184.16212335729142
1213,452736,0.4565277235632442,0.05,HH,010730011001,264.4853626951472
1215,452738,1.149232351585085,0.12,HH,010730011003,217.49867920660904
