id,key,stat,p,group,population,name,z
324,451847,0.1070045049084019,0.38,HH,622,010730003002,130.54807880993974
331,451854,0.17274055548395162,0.18,HH,2254,010730059071,191.53650878428144
335,451858,0.002904735213326141,0.39,HH,1079,010730125004,127.93190344474542
338,451861,0.821945138021393,0.16,HH,552,010730126021,199.4457883209753
348,451871,0.0848081107143184,0.31,HH,1844,010730100023,149.5850347347453
352,451875,0.049969291331461524,0.03,HH,755,010730059081,288.0793608151251
353,451876,2.0533279096011006,0.01,HH,1015,010730128022,332.6347874040841
362,451885,0.050436176059525585,0.4,HH,633,010730100024,125.33471031357998
365,451888,0.12296586637199483,0.23,HH,653,010730011001,173.88468491852137
369,451892,1.062986821194406,0.01,HH,1753,010730129101,332.6347874040841
385,451908,0.0017344520356300005,0.48,HH,2135,010730104021,105.01535834647336
391,451914,3.880824688891223,0.05,HH,538,010730129071,264.4853626951472
400,451923,0.17942361299105858,0.24,HH,1080,010730020001,170.63025628400874
405,451928,0.276340618331699,0.15,HH,1714,010730107022,203.64333894937897
406,451929,0.25276541654728646,0.11,HH,1306,010730107023,222.65281200366104
411,451934,0.05933450345129891,0.27,HH,496,010730132002,161.28129910166274
419,451942,1.4725946816978075,0.02,HH,1835,010730023051,305.37489106318225
420,451943,0.5818950750993165,0.36,HH,531,010730023033,135.84587932511937
421,451944,0.07443720969932219,0.25,HH,784,010730023032,167.44897501960816
423,451946,3.1424550095924753,0.01,HH,1411,010730023063,332.6347874040841
424,451947,0.09290258604622165,0.07,HH,3644,010730107051,247.579102817917
425,451948,0.2556141491280546,0.08,HH,1569,010730107042,240.5071560309633
426,451949,0.2472392544854483,0.32,HH,1802,010730107061,146.7698799114508
433,451956,1.8112466891876238,0.01,HH,1772,010730108011,332.6347874040841
435,451958,0.03962942824469444,0.23,HH,576,010730024002,173.88468491852137
436,451959,2.0960816159060927,0.08,HH,546,010730024004,240.5071560309633
437,451960,0.534612635628417,0.01,HH,507,010730024006,332.6347874040841
439,451962,0.5122610682822074,0.29,HH,622,010730027002,155.3384719555673
441,451964,2.958378804540345,0.01,HH,808,010730023061,332.6347874040841
446,451969,0.5594497469973172,0.04,HH,1955,010730141041,275.0686071252169
447,451970,0.23953839940928173,0.26,HH,888,010730141022,164.3345405392917
449,451972,0.02485732569120286,0.5,HH,1034,010730139022,100.0
466,451989,0.07215257426228844,0.38,HH,608,010730031004,130.54807880993974
469,451992,0.18033302864662698,0.09,HH,1892,010730112071,234.07550336902165
470,451993,0.00516506227744569,0.45,HH,904,010730141052,112.56613468550742
471,451994,0.33552581312121665,0.2,HH,1123,010730143011,184.16212335729142
472,451995,0.9469655521368036,0.12,HH,1426,010730111041,217.49867920660904
478,452001,0.0028655546446724506,0.22,HH,618,010730031005,177.21932141886847
485,452008,0.39474698904936184,0.1,HH,1191,010730112092,228.15515655446004
489,452012,0.021559617735412172,0.03,HH,3753,010730112072,288.0793608151251
496,452019,0.1304872200898131,0.15,HH,2705,010730144041,203.64333894937897
499,452022,0.16786665982379406,0.01,HH,711,010730144092,332.6347874040841
508,452031,0.2590383572586291,0.26,HH,2111,010970068022,164.3345405392917
509,452032,0.1304879189851547,0.13,HH,1323,010970025011,212.63911290388006
511,452034,0.24016754166856774,0.33,HH,1113,010970009022,143.99131656732337
513,452036,0.04140998307679239,0.36,HH,3583,010730117031,135.84587932511937
521,452044,0.02800821172831087,0.03,HH,865,010970009011,288.0793608151251
532,452055,0.0854009362378244,0.29,HH,3350,010970062001,155.3384719555673
533,452056,0.039891565974124174,0.36,HH,1934,010730117053,135.84587932511937
534,452057,0.19258834443486142,0.12,HH,1592,010730118023,217.49867920660904
535,452058,0.21184136095644948,0.24,HH,2038,010730117033,170.63025628400874
540,452063,0.010019235296281497,0.19,HH,2290,010730117034,187.7896295051229
548,452071,0.23915685045489135,0.44,HH,1774,011250107031,115.09692154967775
549,452072,0.03909461991494803,0.43,HH,1037,010150018001,117.63741647808615
574,452097,3.0987770027422754,0.01,HH,773,010730047012,332.6347874040841
