idn,key,stat,p,group,name,z
0,451523,0.0943700302863802,0.21,HH,010010201001,180.64212470182403
3,451526,0.8284697086856282,0.25,HH,010010202002,167.44897501960816
5,451528,5.388865192486161,0.01,HH,010010203002,332.6347874040841
6,451529,3.094501512496278,0.01,HH,010010204001,332.6347874040841
7,451530,2.5595964165861362,0.01,HH,010010204002,332.6347874040841
13,451536,2.2592864398755808,0.03,HH,010010206001,288.0793608151251
18,451541,0.029249909404461927,0.17,HH,010010208012,195.41652531461943
23,451546,0.09098769921586465,0.33,HH,010010209001,143.99131656732337
24,451547,1.5549116386107462,0.21,HH,010010209002,180.64212470182403
25,451548,3.1373986358696406,0.03,HH,010010209003,288.0793608151251
26,451549,0.30129179784601307,0.03,HH,010010209004,288.0793608151251
27,451550,0.42299128088027516,0.05,HH,010010210001,264.4853626951472
28,451551,0.03794788402377734,0.06,HH,010010210002,255.47735945968535
30,451553,0.032716149181381105,0.45,HH,010010211002,112.56613468550742
35,451558,0.2659639440318361,0.26,HH,010030102001,164.3345405392917
36,451559,1.7557269933171424,0.01,HH,010030102002,332.6347874040841
39,451562,1.4803496680153156,0.03,HH,010030103003,288.0793608151251
42,451565,0.2149166812457208,0.37,HH,010030104003,133.18533464368167
43,451566,0.27985377771633346,0.06,HH,010030105001,255.47735945968535
44,451567,0.9519304512476692,0.02,HH,010030105002,305.37489106318225
45,451568,0.13564282868282906,0.16,HH,010030105003,199.4457883209753
49,451572,0.3015470323077703,0.02,HH,010030106003,305.37489106318225
50,451573,0.416392572922875,0.11,HH,010030107011,222.65281200366104
51,451574,1.3123848657111161,0.01,HH,010030107012,332.6347874040841
54,451577,0.8028906113502023,0.02,HH,010030107031,305.37489106318225
58,451581,0.2984876387342446,0.29,HH,010030107051,155.3384719555673
64,451587,3.724788908088862,0.01,HH,010030109031,332.6347874040841
66,451589,0.45211511045707187,0.08,HH,010030109033,240.5071560309633
67,451590,0.3479541762082049,0.05,HH,010030109041,264.4853626951472
68,451591,4.09224804227546,0.02,HH,010030109042,305.37489106318225
69,451592,4.6300471227398186,0.03,HH,010030109043,288.0793608151251
70,451593,3.1183444873157855,0.02,HH,010030109051,305.37489106318225
71,451594,1.7540992472053405,0.01,HH,010030109052,332.6347874040841
72,451595,0.246569866426555,0.01,HH,010030109053,332.6347874040841
74,451597,3.5058049652401113,0.02,HH,010030109062,305.37489106318225
75,451598,4.042583010404112,0.01,HH,010030109063,332.6347874040841
76,451599,1.297842674227821,0.01,HH,010030110001,332.6347874040841
78,451601,3.3248904358632134,0.01,HH,010030111011,332.6347874040841
79,451602,0.8194510708474376,0.01,HH,010030111012,332.6347874040841
80,451603,3.882826791060647,0.01,HH,010030111013,332.6347874040841
82,451605,1.3481099554608034,0.01,HH,010030111022,332.6347874040841
83,451606,1.6050115207382103,0.01,HH,010030112011,332.6347874040841
84,451607,7.762528601516162,0.01,HH,010030112012,332.6347874040841
85,451608,0.0213222245022952,0.18,HH,010030112021,191.53650878428144
87,451610,0.03932994810734907,0.09,HH,010030112023,234.07550336902165
90,451613,0.2426634102473686,0.09,HH,010030113002,234.07550336902165
91,451614,1.136690111605814,0.09,HH,010030113003,234.07550336902165
92,451615,0.14413241655393846,0.14,HH,010030113004,208.0319340814956
93,451616,0.4698784386536125,0.07,HH,010030114011,247.579102817917
96,451619,0.16569829889173932,0.2,HH,010030114014,184.16212335729142
99,451622,0.8029417473745007,0.17,HH,010030114032,195.41652531461943
100,451623,0.12176183714801608,0.04,HH,010030114033,275.0686071252169
101,451624,1.6428349729236407,0.02,HH,010030114051,305.37489106318225
104,451627,0.2645932659190947,0.1,HH,010030114062,228.15515655446004
107,451630,0.09244949841206847,0.38,HH,010030114072,130.54807880993974
108,451631,1.0050004510419004,0.01,HH,010030114073,332.6347874040841
121,451644,3.582532722073097,0.01,HH,010030116021,332.6347874040841
122,451645,0.19587107911774948,0.05,HH,010030116022,264.4853626951472
123,451646,0.37377386051530004,0.11,HH,010030116023,222.65281200366104
125,451648,0.8932368468424108,0.07,HH,010039900000,247.579102817917
128,451651,1.930885548734663,0.03,HH,010059501003,288.0793608151251
129,451652,0.1605393446759987,0.31,HH,010059502001,149.5850347347453
140,451663,0.16444653985567603,0.13,HH,010059506001,212.63911290388006
161,451684,0.000771055024365541,0.54,HH,010070100044,89.95662794885301
163,451686,0.22309495768891838,0.07,HH,010070100046,247.579102817917
164,451687,0.07730700887551273,0.45,HH,010090501011,112.56613468550742
166,451689,0.22779823889918316,0.16,HH,010090501013,199.4457883209753
167,451690,1.4940042532058133,0.04,HH,010090501014,275.0686071252169
168,451691,0.22773402675189824,0.22,HH,010090501015,177.21932141886847
169,451692,2.6789545013928246,0.03,HH,010090501021,288.0793608151251
170,451693,2.3439945930475505,0.01,HH,010090501022,332.6347874040841
171,451694,0.579164758454873,0.16,HH,010090501023,199.4457883209753
172,451695,0.1540169468766518,0.14,HH,010090501024,208.0319340814956
175,451698,1.407268105983851,0.02,HH,010090503001,305.37489106318225
190,451713,1.8562438548896691,0.03,HH,010090506021,288.0793608151251
195,451718,0.04064055292783156,0.44,HH,010090507001,115.09692154967775
203,451726,1.072267410492277,0.03,HH,010119525001,288.0793608151251
207,451730,0.0013507117763670836,0.44,HH,010139527002,115.09692154967775
212,451735,0.037589074450768326,0.39,HH,010139530002,127.93190344474542
215,451738,0.0601288498199443,0.36,HH,010139531003,135.84587932511937
217,451740,0.6757910248360354,0.3,HH,010139532002,152.44005127080408
222,451745,0.17690207356695697,0.03,HH,010139534001,288.0793608151251
225,451748,0.5753541546262589,0.05,HH,010150002001,264.4853626951472
226,451749,0.37171792163436734,0.12,HH,010150002002,217.49867920660904
227,451750,0.3072547600315708,0.1,HH,010150003001,228.15515655446004
233,451756,2.0975728892936654,0.01,HH,010150005002,332.6347874040841
235,451758,0.16682223465756318,0.29,HH,010150006002,155.3384719555673
237,451760,0.030751671508616626,0.35,HH,010150007002,138.5320466407568
238,451761,0.02803530578667851,0.2,HH,010150007003,184.16212335729142
245,451768,0.09016960064285567,0.33,HH,010150010003,143.99131656732337
246,451769,0.1319162134500876,0.36,HH,010150010004,135.84587932511937
254,451777,0.49279415653032144,0.07,HH,010150012022,247.579102817917
255,451778,1.5962482544596914,0.01,HH,010150012023,332.6347874040841
256,451779,1.960205787379525,0.01,HH,010150013001,332.6347874040841
257,451780,1.9854807816510125,0.01,HH,010150013002,332.6347874040841
258,451781,0.4659074189430614,0.01,HH,010150014001,332.6347874040841
259,451782,1.7149105565086977,0.07,HH,010150014002,247.579102817917
260,451783,1.4902095668565756,0.02,HH,010150014003,305.37489106318225
261,451784,1.6827679375179379,0.04,HH,010150014004,275.0686071252169
262,451785,0.07167108414745554,0.23,HH,010150015001,173.88468491852137
263,451786,0.4699586649349712,0.11,HH,010150015002,222.65281200366104
264,451787,1.1430868884088796,0.06,HH,010150015003,255.47735945968535
267,451790,1.0810116502633391,0.1,HH,010150016003,228.15515655446004
268,451791,0.05400077323406857,0.19,HH,010150016004,187.7896295051229
269,451792,1.3815128705977062,0.01,HH,010150017001,332.6347874040841
270,451793,1.2341535486835868,0.06,HH,010150017002,255.47735945968535
271,451794,1.1082785211437212,0.01,HH,010150017003,332.6347874040841
272,451795,3.4671917033611046,0.01,HH,010150017004,332.6347874040841
273,451796,0.012512461133543021,0.01,HH,010150018001,332.6347874040841
274,451797,0.009766365596723147,0.23,HH,010150018002,173.88468491852137
282,451805,0.0024489568913331826,0.36,HH,010150020004,135.84587932511937
284,451807,0.6729964598503217,0.02,HH,010150021011,305.37489106318225
286,451809,0.03593466643905878,0.43,HH,010150021021,117.63741647808615
291,451814,0.02699765632424898,0.43,HH,010150021033,117.63741647808615
293,451816,0.8304110755177498,0.01,HH,010150022002,332.6347874040841
294,451817,0.13553997591485448,0.12,HH,010150022003,217.49867920660904
296,451819,0.09910538637760023,0.39,HH,010150023001,127.93190344474542
297,451820,0.6139690534124064,0.2,HH,010150023002,184.16212335729142
298,451821,0.05823877926337037,0.43,HH,010150023003,117.63741647808615
300,451823,1.0976838856497455,0.01,HH,010150024001,332.6347874040841
302,451825,0.046477931163634495,0.02,HH,010150025011,305.37489106318225
303,451826,0.49002257299960933,0.07,HH,010150025012,247.579102817917
304,451827,1.3318754957136196,0.02,HH,010150025013,305.37489106318225
305,451828,1.1128352146391052,0.01,HH,010150025014,332.6347874040841
